,Total_loads
,23
date,
2015-01-01,26798.0
2015-01-02,29705.0
2015-01-03,26863.0
2015-01-04,26270.0
2015-01-05,23822.0
2015-01-06,27421.0
2015-01-07,30477.0
2015-01-08,26436.0
2015-01-09,28825.0
2015-01-10,26219.0
2015-01-11,23940.0
2015-01-12,29695.0
2015-01-13,30733.0
2015-01-14,30630.0
2015-01-15,30737.0
2015-01-16,31243.0
2015-01-17,30056.0
2015-01-18,29850.0
2015-01-19,31618.0
2015-01-20,32569.0
2015-01-21,32864.0
2015-01-22,32725.0
2015-01-23,32693.0
2015-01-24,30715.0
2015-01-25,30011.0
2015-01-26,31608.0
2015-01-27,31746.0
2015-01-28,31304.0
2015-01-29,31448.0
2015-01-30,30783.0
2015-01-31,29537.0
2015-02-01,29866.0
2015-02-02,31650.0
2015-02-03,28152.0
2015-02-04,24201.0
2015-02-05,24832.0
2015-02-06,27991.0
2015-02-07,30603.0
2015-02-08,27815.0
2015-02-09,28493.0
2015-02-10,26155.0
2015-02-11,25487.0
2015-02-12,29745.0
2015-02-13,31187.0
2015-02-14,28968.0
2015-02-15,28393.0
2015-02-16,30385.0
2015-02-17,30986.0
2015-02-18,30576.0
2015-02-19,30729.0
2015-02-20,30512.0
2015-02-21,29201.0
2015-02-22,28681.0
2015-02-23,30381.0
2015-02-24,30729.0
2015-02-25,30554.0
2015-02-26,29860.0
2015-02-27,29705.0
2015-02-28,27689.0
2015-03-01,29366.0
2015-03-02,32222.0
2015-03-03,28168.0
2015-03-04,23519.0
2015-03-05,24758.0
2015-03-06,28352.0
2015-03-07,30495.0
2015-03-08,30116.0
2015-03-09,27687.0
2015-03-10,24381.0
2015-03-11,26365.0
2015-03-12,29486.0
2015-03-13,28016.0
2015-03-14,27076.0
2015-03-15,27131.0
2015-03-16,28943.0
2015-03-17,29389.0
2015-03-18,29322.0
2015-03-19,28502.0
2015-03-20,28943.0
2015-03-21,27736.0
2015-03-22,27803.0
2015-03-23,29514.0
2015-03-24,29732.0
2015-03-25,29597.0
2015-03-26,29825.0
2015-03-27,28898.0
2015-03-28,25980.0
2015-03-29,25981.0
2015-03-30,27112.0
2015-03-31,26846.0
2015-04-01,28916.0
2015-04-02,32830.0
2015-04-03,28826.0
2015-04-04,24503.0
2015-04-05,26874.0
2015-04-06,28209.0
2015-04-07,29301.0
2015-04-08,30264.0
2015-04-09,26603.0
2015-04-10,24784.0
2015-04-11,26409.0
2015-04-12,29352.0
2015-04-13,26665.0
2015-04-14,27149.0
2015-04-15,27238.0
2015-04-16,27375.0
2015-04-17,26792.0
2015-04-18,25237.0
2015-04-19,25158.0
2015-04-20,26576.0
2015-04-21,26644.0
2015-04-22,26697.0
2015-04-23,26437.0
2015-04-24,26520.0
2015-04-25,25153.0
2015-04-26,25193.0
2015-04-27,26414.0
2015-04-28,26598.0
2015-04-29,26779.0
2015-04-30,26779.0
2015-05-01,28635.0
2015-05-02,32876.0
2015-05-03,29078.0
2015-05-04,24068.0
2015-05-05,26707.0
2015-05-06,28164.0
2015-05-07,30222.0
2015-05-08,30717.0
2015-05-09,24758.0
2015-05-10,26348.0
2015-05-11,26318.0
2015-05-12,27589.0
2015-05-13,28098.0
2015-05-14,28123.0
2015-05-15,26622.0
2015-05-16,25289.0
2015-05-17,25439.0
2015-05-18,27171.0
2015-05-19,26694.0
2015-05-20,26603.0
2015-05-21,26890.0
2015-05-22,26749.0
2015-05-23,25326.0
2015-05-24,25190.0
2015-05-25,26741.0
2015-05-26,27064.0
2015-05-27,27281.0
2015-05-28,27612.0
2015-05-29,27037.0
2015-05-30,25409.0
2015-05-31,25419.0
2015-06-01,28235.0
2015-06-02,33359.0
2015-06-03,28932.0
2015-06-04,25145.0
2015-06-05,26929.0
2015-06-06,26637.0
2015-06-07,32926.0
2015-06-08,30626.0
2015-06-09,24598.0
2015-06-10,26217.0
2015-06-11,26357.0
2015-06-12,26977.0
2015-06-13,25069.0
2015-06-14,25174.0
2015-06-15,26509.0
2015-06-16,26767.0
2015-06-17,27175.0
2015-06-18,27739.0
2015-06-19,27876.0
2015-06-20,26700.0
2015-06-21,27269.0
2015-06-22,28538.0
2015-06-23,26935.0
2015-06-24,27683.0
2015-06-25,28764.0
2015-06-26,29323.0
2015-06-27,28525.0
2015-06-28,29420.0
2015-06-29,31795.0
2015-06-30,32103.0
2015-07-01,31404.0
2015-07-02,31578.0
2015-07-03,26720.0
2015-07-04,27014.0
2015-07-05,27108.0
2015-07-06,27036.0
2015-07-07,33383.0
2015-07-08,30323.0
2015-07-09,26266.0
2015-07-10,25969.0
2015-07-11,24173.0
2015-07-12,26983.0
2015-07-13,32142.0
2015-07-14,32573.0
2015-07-15,32755.0
2015-07-16,32740.0
2015-07-17,31598.0
