date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/1/1,25385,24382,22734,21286,20264,19905,20010,20377,20094,20637,22250,23547,24133,24713,24672,23528,23118,23606,26447,28020,29014,29571,29031,26798
2015/1/2,27070,24935,23214,22540,22096,22066,22275,23025,23699,25834,27927,29072,29071,29439,29241,27973,27320,27157,29045,31967,33266,33668,32426,29705
2015/1/3,25564,23584,22194,21296,21145,21316,21674,22127,22756,24654,26454,26959,26716,26802,26416,25362,24770,24501,24992,27964,29694,29874,28979,26863
2015/1/4,25254,23620,22606,22191,21929,22195,24035,26807,28316,29871,30585,30772,30685,30429,28741,28249,28105,27908,27577,27418,28604,30346,28190,26270
2015/1/5,25069,23390,21988,21182,20778,20309,20252,19964,20796,22478,23834,24429,28696.93991,28696.93991,28696.93991,28696.93991,28696.93991,28696.93991,21888,22048,22858,25604,25381,23822
2015/1/6,23711,22354,21546,21171,21042,21618,23433,25885,28456,29708,30887,31409,31947,32078,31193,30542,30591,30799,30481,30147,30120,30747,29978,27421
2015/1/7,30518,28484,27026,26248,25838,26021,26992,28625,31015,33276,34221,34796,35535,35752,35605,36020,36066,36195,35739,35188,34470,33716,32697,30477
2015/1/8,26788,25146,23889,23046,22587,22361,22551,22543,24042,25932,27664,28448,28881,29329,29026,28237,27868,27654,27507,27544,27578,28222,28221,26436
2015/1/9,27485,25750,24760,24188,23840,24030,25965,28266,29981,31932,33325,34144,35040,35524,34579,33792,33768,33696,33154,32440,32384,33976,31420,28825
2015/1/10,24899,23505,22589,22177,22025,22426,24361,27890,29335,29951,30452,30856,31449,31218,30458,29836,29781,29929,29638,29950,32244,31900,28690,26219
2015/1/11,22460,21033,19977,19389,19126,19199,19404,19500,20182,22121,23589,24238,24271,24713,24477,23377,23037,23049,25259,26520,27123,27025,25889,23940
2015/1/12,27085,25272,24121,23626,23572,24070,26787,31511,34046,34876,35093,34588,34347,34146,32884,32422,32502,33509,35896,36615,36704,35823,32932,29695
2015/1/13,28033,25750,24517,23911,23876,24445,27027,31924,35351,36288,36612,36296,35645,35172,33895,33283,33030,33542,35944,37553,37604,36831,33972,30733
2015/1/14,28057,25764,24495,23887,23892,24438,27040,31798,35150,35953,36439,36048,35561,35186,33909,33322,33330,33811,36114,37535,37633,36809,33939,30630
2015/1/15,27865,25617,24269,23940,23762,24485,26919,31608,34804,35815,36260,35996,35539,35240,34028,33573,33637,34151,36202,37469,37299,36325,33848,30737
2015/1/16,28342,26119,24683,24147,24030,24561,27025,31518,34642,35662,36343,36335,35955,35583,34322,33777,33460,33784,35633,36821,36669,36015,33847,31243
2015/1/17,28889,26782,25083,24086,23651,23539,24025,25467,27120,29980,32225,32480,31863,31659,30894,29725,29039,29191,31620,33274,33865,33741,32324,30056
2015/1/18,27371,25227,23430,22446,21973,21986,22350,23099,23805,25933,28482,29913,30285,30892,30854,29506,28894,28926,31281,32810,33710,33891,32608,29850
2015/1/19,26865,24650,23305,22776,22671,23397,26513,31460,35444,36987,38207,38341,38052,37891,36560,36103,35867,36229,37941,39304,39262,38082,35179,31618
2015/1/20,29025,26475,25087,24620,24505,25188,27866,32945,36474,37711,38505,38499,38172,38132,36846,36287,36333,36890,38856,40232,40207,39208,36258,32569
2015/1/21,29411,26868,25391,24810,24694,25268,27986,33028,36643,38079,38761,38655,38110,38036,36868,36479,36441,37061,38758,40081,40122,39146,36267,32864
2015/1/22,29755,27137,25675,25103,24952,25540,28176,32969,36207,37521,38344,38054,37706,37513,36419,35785,35761,36254,38080,39702,39722,38886,36062,32725
2015/1/23,29746,27253,25770,25198,25081,25679,28213,33070,36531,37807,38312,37823,37202,36773,35443,34752,34582,34756,36572,38329,38333,37708,35332,32693
2015/1/24,30040,27485,25763,24786,24358,24273,24822,26229,28031,30993,33327,33373,32671,32544,31782,30494,29801,29777,32048,34127,34630,34494,33050,30715
2015/1/25,27877,25569,23794,22965,22428,22526,22939,23750,24337,26224,28381,29101,28831,29011,28869,27849,27188,26878,29363,32239,33571,33845,32749,30011
2015/1/26,26853,24631,23303,22989,22879,23750,26802,31982,35629,36969,37516,37201,36577,36237,35058,34575,34395,34829,36507,38622,38869,37993,35187,31608
2015/1/27,28656,26315,24984,24506,24470,25118,27748,32686,35981,37036,37421,37040,36320,36104,34932,34498,34266,34499,36045,38335,38718,37819,35153,31746
2015/1/28,29096,26815,25396,24739,24587,25236,27861,32646,35927,36959,37228,36794,36039,28696.93991,34343,33886,33621,33837,35740,37937,38240,37183,34487,31304
2015/1/29,28577,26313,25016,24408,24295,24870,27423,32153,35154,36073,36481,36216,35852,35873,34750,34345,34270,34695,36210,38037,38090,37247,34593,31448
2015/1/30,28858,26636,25401,24727,24566,24991,27327,31748,34549,35625,36120,36200,35845,35785,34533,33900,33609,33987,35326,36795,36331,35407,33421,30783
2015/1/31,28724,26851,25022,24140,23748,23734,24183,25325,26867,29396,31862,32130,31592,31584,30788,29436,28691,28705,30555,32787,33309,32984,31484,29537
2015/2/1,24298,21881,20495,19730,19500,20113,22153,28696.93991,28696.93991,28696.93991,32383,32358,28696.93991,28696.93991,28696.93991,28696.93991,28696.93991,28696.93991,28696.93991,28696.93991,33955,33851,32324,29866
2015/2/2,26687,24609,23347,22836,22833,23665,26861,31940,35395,36738,37638,37733,37491,37419,36417,36008,35839,36047,37111,38943,39042,37941,35104,31650
2015/2/3,24402,23007,22192,21722,21804,22627,25334,29383,31951,33325,33781,33672,33590,33224,32019,31275,30718,30570,30646,33367,34373,33375,30865,28152
2015/2/4,24449,22718,21561,20899,20602,20472,21161,22317,22741,24632,25861,26351,26253,26118,25402,24307,23776,23464,23242,23417,24934,27048,25825,24201
2015/2/5,22311,20879,19888,19377,19149,19264,20279,20618,22385,24689,26192,26665,26679,26882,26541,25272,24441,24259,24216,24262,25006,27081,26483,24832
2015/2/6,25777,24329,23417,23066,22949,23280,24795,27267,29697,30943,31936,32661,33337,33470,32582,32153,32238,32520,32152,31666,31336,31449,30679,27991
2015/2/7,28902,27027,25655,25098,24841,25026,26440,28366,30754,33158,34490,34767,35667,36282,35765,35266,35207,35250,34803,34258,33432,32981,32790,30603
2015/2/8,25070,23668,22522,21655,21260,21066,21126,20572,21286,22809,24249,25268,25905,26660,27234,26838,26493,26216,26240,26387,26780,28108,29242,27815
2015/2/9,27209,25614,24615,24160,23922,24233,25947,28368,30171,31977,33070,33759,34420,34687,33635,32858,32749,32888,32414,31886,32153,33393,30915,28493
2015/2/10,24815,23485,22674,22163,22148,22575,24495,27909,29551,30371,30992,31250,31646,31557,30491,29749,29423,29359,29089,29536,31533,31045,28158,26155
2015/2/11,22333,21063,20157,19892,19850,20500,22576,25016,26617,28123,29218,29737,30113,30294,29466,28534,28057,28326,29991,31005,31251,30380,27950,25487
2015/2/12,27229,25266,24013,23600,23558,24062,26611,31235,33940,34695,34769,34331,33878,34086,33053,32607,32510,33504,35793,36389,36483,35498,32890,29745
2015/2/13,29098,26802,25353,24620,24492,25059,27705,32480,35318,36628,37025,36634,35912,35538,34115,33223,33032,33159,33985,36464,36733,36012,33902,31187
2015/2/14,28973,26689,25018,24086,23782,23555,24055,25442,26977,29927,32233,32611,32210,32263,31385,30055,29272,29151,30226,32523,32646,32322,30996,28968
2015/2/15,27038,25048,23556,22809,22406,22272,22427,23101,23560,25451,27570,28630,28588,28900,28688,27435,26551,26137,27237,29896,31180,31536,30715,28393
2015/2/16,25952,24066,22807,22366,22293,23112,26041,30434,33135,34840,35306,35269,35098,35078,33880,33183,33039,32973,33542,36098,36679,35898,33475,30385
2015/2/17,27955,25887,24694,24157,24011,24716,27326,31651,33989,35631,36424,36559,36392,36351,34843,34203,34032,34091,34632,37188,37924,36984,34270,30986
2015/2/18,28328,26074,24897,24433,24409,24971,27630,32185,34834,36176,36732,36559,36367,36020,34748,34034,33850,33820,33922,36610,37295,36397,33805,30576
2015/2/19,27937,25854,24605,24175,24014,24706,27273,31971,34485,35582,35725,35331,34856,34635,33342,32802,32595,32733,33458,36514,37133,36344,33904,30729
2015/2/20,28161,25902,24532,23970,23860,24484,27208,31924,34663,35816,36311,36019,35435,35077,33577,32671,32546,32581,33186,35770,36189,35457,33186,30512
2015/2/21,28183,26017,24462,23533,23191,23150,23686,24954,26445,29591,31843,32341,32040,31938,30823,29553,28642,28375,29163,31925,32991,32920,31303,29201
2015/2/22,26919,24723,23109,22234,21878,21910,22388,22971,23343,25656,27642,28597,28389,28505,28020,26909,26170,25759,26799,30165,31950,32213,30994,28681
2015/2/23,25948,24048,22915,22440,22510,23267,26321,31107,33902,35310,35807,35837,35446,35362,34148,33477,33156,33203,33574,36340,37118,36279,33557,30381
2015/2/24,28105,26059,24874,24419,24269,25027,27577,32133,34669,35776,36052,35984,35764,35659,34328,33702,33377,33580,34086,36729,37783,36718,34031,30729
2015/2/25,28187,26092,24805,24489,24564,24994,27809,32069,34500,35763,35928,35730,35394,35428,34110,33481,33139,33159,33441,36177,37158,36245,33674,30554
2015/2/26,28205,26102,24884,24385,24344,24834,27341,31381,33654,34716,34920,34666,34502,34530,33320,32726,32443,32528,32740,35354,36131,35306,32844,29860
2015/2/27,27464,25775,24556,24159,24227,24623,26964,30783,32832,34132,34483,34367,33966,33769,32453,31643,31216,31054,31009,33649,34368,33742,31964,29705
2015/2/28,27739,25645,24033,23214,22890,22770,23361,24357,25767,28583,30244,30287,29640,29529,28644,27570,26919,26609,27220,29643,30718,30644,29622,27689
2015/3/1,27243,24723,22861,21963,21540,21642,22434,23787,25305,27745,30101,30495,29893,29659,29268,28375,27840,28102,30973,32130,32763,32875,31532,29366
2015/3/2,29071,26977,25574,24982,24879,25506,28104,32929,35765,37147,37681,37765,37489,37385,36208,35771,35800,36193,37418,39296,39406,38351,35607,32222
2015/3/3,26021,24285,23273,22800,22624,23304,25773,29455,31813,32972,33267,33314,33027,32791,31615,30892,30427,30397,30668,33367,34572,33596,31047,28168
2015/3/4,22551,21052,20002,19371,18975,18934,19211,19743,19775,21241,22554,23012,22932,22969,22744,21706,21270,21062,21051,21594,23277,25521,24718,23519
2015/3/5,23212,21739,20707,19963,19708,19650,19838,19351,20162,22045,23700,24525,24689,24960,24790,23615,22925,22801,23044,23481,24567,27117,26623,24758
2015/3/6,26397,24928,23977,23593,23400,23745,25167,27428,29921,31099,32003,32810,33535,33703,32802,32417,32537,32794,32434,31756,31328,31563,30780,28352
